,datetime,close,open,high,low,KL,% change
0,2021-04-29,20100.0,20100.0,20500.0,20000.0,3530000.0000000005,1.01
1,2021-04-28,19900.0,19500.0,20300.0,19400.0,4630000.0,2.58
2,2021-04-27,19400.0,19600.0,20000.0,19000.0,4920000.0,0.0
3,2021-04-26,19400.0,21200.0,21500.0,19400.0,11420000.0,-8.49
4,2021-04-23,21200.0,20900.0,21400.0,20400.0,9090000.0,1.44
5,2021-04-22,20900.0,23300.0,23300.0,20900.0,15590000.0,-9.91
6,2021-04-20,23200.0,23300.0,23900.0,23200.0,8550000.0,-0.43
7,2021-04-19,23300.0,23400.0,23400.0,22800.0,4610000.0,-0.43
8,2021-04-16,23400.0,23600.0,23800.0,22800.0,8540000.0,-0.85
9,2021-04-15,23600.0,23900.0,24500.0,23500.0,10520000.0,0.0
10,2021-04-14,23600.0,23100.0,23800.0,22700.0,8510000.0,2.16
11,2021-04-13,23100.0,23900.0,24000.0,23000.0,11330000.0,-2.12
12,2021-04-12,23600.0,23800.0,24000.0,23400.0,9680000.0,-0.84
13,2021-04-09,23800.0,24000.0,24500.0,23700.0,13300000.0,-0.83
14,2021-04-08,24000.0,24000.0,24600.0,23600.0,12040000.0,0.0
15,2021-04-07,24000.0,24500.0,24600.0,23800.0,13880000.0,-1.23
16,2021-04-06,24300.0,23300.0,24300.0,22800.0,14550000.0,3.85
17,2021-04-05,23400.0,23600.0,23700.0,23200.0,7390000.0,-0.85
18,2021-04-02,23600.0,23900.0,24300.0,23500.0,7870000.0,-0.42
19,2021-04-01,23700.0,23000.0,23800.0,22900.0,11870000.0,3.04
20,2021-03-31,23000.0,22800.0,23200.0,22500.0,8540000.0,0.88
21,2021-03-30,22800.0,22700.0,23200.0,22400.0,7640000.0,1.33
22,2021-03-29,22500.0,22900.0,23300.0,22300.0,6920000.0,-0.88
23,2021-03-26,22700.0,22200.0,23000.0,20600.0,12040000.0,2.25
24,2021-03-25,22200.0,22700.0,23200.0,22200.0,6939999.999999999,-2.2
25,2021-03-24,22700.0,23000.0,23000.0,21700.0,19520000.0,-2.99
26,2021-03-23,23400.0,23800.0,23800.0,23200.0,8140000.000000001,-1.6800000000000002
27,2021-03-22,23800.0,24000.0,24300.0,23700.0,7310000.0,-0.42
28,2021-03-19,23900.0,23500.0,24000.0,22800.0,17880000.0,-1.24
29,2021-03-18,24200.0,24600.0,24800.0,24100.0,7550000.0,-1.63
30,2021-03-17,24600.0,24100.0,24600.0,23500.0,13150000.0,3.8
31,2021-03-16,23700.0,23900.0,24100.0,23500.0,11350000.0,-1.6600000000000001
32,2021-03-15,24100.0,24300.0,24500.0,24000.0,8580000.0,-0.41
33,2021-03-12,24200.0,24600.0,25000.0,24100.0,8289999.999999999,-0.82
34,2021-03-11,24400.0,24000.0,24500.0,24000.0,7450000.0,2.52
35,2021-03-10,23800.0,24100.0,24200.0,23400.0,15100000.0,-0.83
36,2021-03-09,24000.0,25000.0,25000.0,23800.0,18720000.0,-4.76
37,2021-03-08,25200.0,24900.0,26500.0,24900.0,14040000.0,1.2
38,2021-03-05,24900.0,24600.0,25500.0,24600.0,17920000.0,1.22
39,2021-03-04,24600.0,23000.0,24900.0,22100.0,27040000.0,8.37
40,2021-03-03,22700.0,22700.0,22900.0,22400.0,8070000.0,-0.44
41,2021-03-02,22800.0,23400.0,23400.0,22700.0,16640000.0,-2.15
42,2021-03-01,23300.0,23000.0,23300.0,22200.0,16239999.999999998,3.56
43,2021-02-26,22500.0,22500.0,22600.0,21800.0,11910000.0,0.0
44,2021-02-25,22500.0,22100.0,22900.0,22000.0,13610000.0,3.21
